Story Number,Output,intent ,Comments
train002,train002_S2_Sp001_F_L1_G1_A5,P_C_L,
,مجھے بھوک لگی ہے اور میرے پاس تھری تھاؤزنڈ روپیز ہیں اور اتنے میں میں کھانا کھانا چاہتی ہوں.,,
,چائنیز,,
,میں لاہور میں جوہر ٹاؤن سے کھانا کھانا چاہتی ہوں.,,
train003,train003_S3_Sp001_F_L1_G1_A5,C_P_L,
,میں مجھے بھوک لگی ہے اور میں دیسی کھانا کھانا چاہتی ہوں.,,
,میں مناسب کھانا کھانا چاہتی ہوں.,,
, میں لاہور میں ماڈل ٹاؤن سے کھانا کھانا چاہتی ہوں.,,
train004,train004_S4_Sp001_F_L1_G1_A5,P_L_C,
,میں کھانا کھانا چاہتی ہوں اور میں چاہتی ہوں کہ میرا یہ کھانا تین ہزار روپیز میں ہو جائے.,,
,میں لاہور میں ہربنس پورہ سے کھانا کھانا چاہتی ہوں۔,,
,میں دیسی کھانا کھانا چاہتی ہوں.,,
train006,train006_S6_Sp001_F_L1_G1_A5,C_L_P,
,مجھے بھوک لگی ہے اور میں چائنیز کھانا کھانا چاہتی ہوں.,,
,میں لاہور میں ماڈل ٹاؤن سے کھانا کھانا چاہتی ہوں.,,
,میں مناسب کھانا کھانا چاہتی ہوں.,,
train008,train008_S8_Sp001_F_L1_G1_A5,LP_C,
, میں اس وقت لاہور ماڈل ٹاؤن میں ہوں اور میں پانچ ہزار روپے کا کھانا کھانا چاہتی ہوں۔,,
,میں چائنیز کھانا کھانا چاہتی ہوں۔,,
train009,train009_S9_Sp001_F_L1_G1_A5,CP_L,
, میں چائنیز کھانا کھانا چاہتی ہوں اور پانچ ہزار روپیز میں کھانا چاہتی.,,
,میں لاہور ماڈل ٹاؤن سے کھانا کھانا چاہتی ہوں۔,,
train010,train010_S10_Sp001_F_L1_G1_A5,C_LP,
, میں چائنیز کھانا کھانا چاہتی ہوں.,,
,میں لاہور میں ماڈل ٹاؤن سے کھانا کھانا چاہتی.اور تین ہزار روپیز میں کھانا چاہتی ہوں.,,
train011,train011_S11_Sp002_F_L1_G2_A5,L_CP,
,میں لاہور ہربنس پورہ سے ہربنس پورہ میں ہوں اور میں کھانا کھانا چاہتی ہوں.,,
,میں دیسی کھانا کھانا چاہتی ہوں.اور تین ہزار روپیز میں کھانا چاہتی ہوں.,,
train012,train012_S11_Sp002_F_L1_G2_A5,L_CP,
,میں لاہور ماڈل ٹاؤن سے بات کر رہی ہوں. ,,
,میں تھوڑا سستا چائنیز کھانا کھانا چاہتی ہوں۔,,
train013,train013_S9_Sp002_F_L1_G2_A5,CP-L,
,میں مناسب رینج میں جیسے کہ  پندرہ سو روپے میں دیسی کھانا کھانا چاہتی ہوں-,,
,میں لاہور میں ماڈل ٹاؤن سے کھانا کھانا  چاہتی ہوں۔,,
train014,train014_S12_Sp002_F_L1_G2_A5,P_CL,
, میں دو ہزار روپیز میں کھانا کھانا چاہتی ہوں.,,
,میں فاسٹ فوڈ کھانا کھانا چاہتی ہوں اور ماڈل ٹاؤن میں کھانا چاہتی ہوں۔,,
train015,train015_S13_Sp002_F_L1_G2_A5,LCP,
,السلام و علیکم ۔میں لاہور جوہر ٹاؤن سے بات کر رہی ہوں اور مجھے تین ہزار روپیز میں دیسی کھانا کھانا ہے.,,
train016,train016_S7_Sp002_F_L1_G2_A5,LC_P,
,میں لاہور ماڈل ٹاؤن سے بول رہی ہوں میں برگر کھانا چاہ رہی ہوں.,,
,مناسب رینج میں.,,
train017,train017_S8_Sp002_F_L1_G2_A5,LP_C,
,میں ڈیفنس سے بول رہی ہوں میرے پاس ففٹین ہنڈرڈ ہیں تو  میں کیا کھا سکتی ہوں اس میں۔,,
,میں فاسٹ فوڈ کھانا چاہ رہی ہوں۔,,
train018,train018_S9_Sp002_F_L1_G2_A5,CP_L,
,میں ٹو تھاؤزنڈ میں چائنیز کھانا کھانا چاہ رہی ہوں۔,,
,میں  لاہور ڈیفنس سے بول رہی ہوں۔,,
train019,train019_S9_Sp002_F_L1_G2_A5,CP_L,
,میں دیسی کھانا کھا نا  چاہ رہی ہوں  تھری تھاؤزنڈ میں ۔,,
,میں ڈیفنس  سے سے کھا نا  چاہ رہی ہوں.,,
train020,train020_S10_Sp002_F_L1_G2_A5,C_LP,
,میں پیزا کھانا چاہ رہی ہوں,,
,میں اقبال ٹاؤن لاہور سے بول رہی ہوں اور  ٹوئنٹی فائیو ہنڈرڈ میں کھانا چاہ رہی ہوں۔,,
train021,train021_S10_Sp002_F_L1_G2_A5,C_LP,
,میں پیزا کھانا چاہ رہی ہوں,,
,میں ماڈل ٹاؤن میں ہوں ماڈل ٹاؤن سے کھانا چاہ رہی ہوں اور ٹوئنٹی فائیو ہنڈرڈ میں۔,,
train022,train022_S11_Sp002_F_L1_G2_A5,L_CP,
,میں سیٹلائٹ لاہور سے بول رہی ہوں,,
,میں چائنیز کھانا چاہ رہی ہوں  اور تھری تھاؤزنڈ میں کھانا چاہ رہی ہوں۔,,
train023,train023_S11_Sp002_F_L1_G2_A5,L_CP,
,سیٹلائٹ ٹاؤن لاہور سے بول رہی ہوں میں,,
,میں تھری تھاؤزنڈ میں پیزا کھانا چاہ رہی ہوں۔,,
train025,train025_S12_Sp002_F_L1_G2_A5,P_CL,
,فائیو تھاؤزنڈ کا کھانا چاہ رہی ہوں مہنگا,,
,میں سیٹلائٹ ٹاؤن سے  دیسی کھانا کھانا چاہتی ہوں,,
train026,train026_S12_Sp002_F_L1_G2_A5,P_CL,
,میرے پاس ٹوئنٹی فائیو ہنڈرڈ ہے اس میں کیا کیا مل سکتا ہے.,,
,میں سیٹلائٹ ٹاؤن سے  ہوں میں دیسی کھانا کھانا چاہتی ہوں.,,
train027,train027_S13_Sp002_F_L1_G2_A5,LCP,
,میں اقبال ٹاؤن سے بول رہی ہوں مجھے بھوک لگی ہے مجھے تھاؤزنڈ تک پیزا چاہیے۔,,
,,,
train028,train028_S13_Sp002_F_L1_G2_A5,LCP,
,میں ماڈل ٹاؤن سے بول رہی ہوں  مجھے بھوک لگی ہے میرے پاس ٹو تھاؤزنڈ ہے اور میں برگر کھانا چاہ رہی ہوں۔,,
train031,train031_S5_SP003_F_L1_G1_A5,L_P_C,
,السلام و علیکم۔,,
,جی میں کچھ بہترین فوڈ کھانا چاہتی ہوں.میں ڈیفنس سے فیز سکس سے بات کر رہی ہوں.,,
,میں ون تھاؤزنڈ کی رینج میں کھانا کھانا چاہتی ہوں.,,
,مجھے فاسٹ فوڈ چاہیے.,,
train032,train032_S1_SP003_F_L1_G1_A5,L_C_P,
,السلام و علیکم۔,,
,جی میں ڈیفنس سے فیز  سکس سے بات کر رہی ہوں ٹھیک ہے میں کوئی بہترین فوڈ کھانا چاہتی ہوں.,,
,میں فاسٹ فوڈ کھانا چاہتی ہوں اور میں بہت ہی لائٹ پسند کرتی ہوں ٹھیک ہے۔,,
,میں ون تھاؤزنڈ کی رینج میں کھانا چاہتی ہوں.,,
train034,train034_S8_SP003_F_L1_G1_A5,LP_C,
,السلام و علیکم.,,
,دیکھیں میرے پاس نا فائیو ہنڈرڈ ہیں میں اس میں کوئی بہترین سا فوڈ لینا چاہتی ہوں ٹھیک ہے میں فیز فائیو سے بات کر رہی ہوں. ,,
,میں فاسٹ فوڈ   میں کھانا چاہتی ہوں لائٹ.,,
train035,train035_S9_SP003_F_L1_G1_A5,CP_L,
