Story Number,Output,intent ,Comments
train200,train200_S2_Sp005_M_L2_G2_A1,P_C_L,
,میں تقریباً پانچ سو سے سات سو کے درمیان کوئی کھانا تلاش کر رہا ہوں جو کہ ایک مناسب قیمت کے اندر جو اویلیبل ہو.,,
,میں کوئی بھی جو دیسی کھانا ہے اس کو کھانا پسند کروں گا اور میری لوکیشن کے آس پاس ریسٹورنٹس ہیں وہاں سے کھانا پسند ہے.,,
,میں اس وقت کلمہ چوک گلبرگ تھری کے میں موجود ہوں.,,
train202,train202_S7_Sp005_M_L2_G2_A1,LC_P,
,میں اس وقت فردوس مارکیٹ گلبرگ تھری میں ہوں اور مجھے شدید بھوک ہے اور اس میں کچھ دیسی کھانا کھانا پسند کروں گا.,,
,میں اس لوکیشن میں کوئی مناسب قیمت میں کھانا کھانا پسند کروں گا.,,
train203,train203_S7_Sp005_M_L2_G2_A1,LC_P,
,میں اس وقت فورٹریس کے قریب موجود ہوں کیا یہاں کوئی مجھے دیسی کھانا کھانے کو مل سکتا ہے.,,
,میں کچھ سستا کھانا پسند کروں گا جو کہ کھانے میں ایک اچھا ذائقہ بھی رکھتا ہو.,,
train204,train204_S8_Sp005_M_L2_G2_A1,LP_C,
,السلام علیکم,,
,میں اس وقت گلبرگ تھری میں ہوں اور میں تقریباً فائیو ہنڈرڈ کی رینج میں کوئی مناسب کھانا کھانا پسند کروں گا.,,
,میں اس لوکیشن میں فاسٹ فوڈ کو کھانا پسند کروں گا.,,
train206,train206_S9_Sp005_M_L2_G2_A1,CP_L,
,میں ایک ایسا دیسی کھانا کھانا پسند کروں گا جس میں گھر جیسا ذائقہ موجود ہو اور اس میں جو قیمت فائیو ہنڈرڈ ٹو سیون ہنڈرڈ کے اندر فال کرتی ہو.,,
,میں کھانا وائی بلاک سے منگوانا پسند کروں گا.ڈی ایچ اے.,,
train207,train207_S2_Sp005_M_L2_G2_A1,P_C_L,
,میں ایک ایسا کھانا کھانا پسند کروں گا جو اس ایریا کی سپیشلٹی کے پوائنٹ آف ویو سے بہت سے لوگ  کھانا کھانا پسند کرتے ہیں اوراس کی جو رینج ہے ون تھاؤزنڈ کے قریب قریب ہونی چاہیے.,,
,میں چائنیز کھانا کھانا پسند کروں گا.,,
,میں یہ کھانا  گلبرگ تھری سے منگوانا پسند کروں گا.,,
train209,train209_S10_Sp005_M_L2_G2_A1,C_LP,
,آج میرا چکن کھانے کو بہت دل چاہ رہا ہے اور چکن کڑاہی کھانا میں پسند کروں گا.,,
,میں مال روڈ میں اور ٹویلو ہنڈرڈ کی رینج میں کھانا کھانا پسند کروں گا.,,
train210,train210_S11_Sp005_M_L2_G2_A1,L_CP,
,"میں اس وقت یو ای ٹی  میں موجود ہوں اور مجھے بہت بھوک لگی ہے کیا میرے آس پاس کوئی ریسٹورنٹ موجود ہے ، جہاں سے مجھے کھانا مل سکتا ہو.",,
,میں دیسی کھانے کو بہت پسند کرتا ہوں اور دیسی کھانا ہی کھانا پسند کروں گا اور قیمت اس کی مناسب ہو تقریباً سات سو آٹھ سو کے قریب ہو.,,
train212,train212_S11_Sp005_M_L2_G2_A1,L_CP,
,میں اس وقت کینٹ کے ایریا میں موجود ہوں اور میں کچھ کھانا کھانا چاہ رہا ہوں کیا یہاں کھانا مل سکتا ہے.,,
,میں نے سنا ہے یہاں کا دیسی کھانا بہت مشہور ہے اور کوئی سیون ہنڈرڈ کی رینج میں کھانا  مل جائے تو اس کو کھانا پسند کروں گا,,
train213,train213_S12_Sp005_M_L2_G2_A1,P_CL,
