story number,output,intent,comments
train409,train409_S7_Sp024_F_L1_G1_A3,LC_P,
,السلام و علیکم مجھے اقبال ٹاؤن میں دیسی کھانا آرڈر کرنا  ہے,LC,
,میری پرائس رینج ہے پانچ سو سے ہزار روپے,P,
train410,train410_S7_Sp024_F_L1_G1_A3,LC_P,
,السلام و علیکم میں اقبال ٹاؤن میں دیسی کھانا آرڈر کرنا چاہ رہی ہوں,LC,
,میری پرائس رینج ہے پانچ سو سے ہزار روپے,P,
train411,train411_S7_Sp024_F_L1_G1_A3,LC_P,
,السلام و علیکم میں نے باغبان پورہ میں چائنیز کھانا آرڈر کرنا ہے,LC,
,پانچ سو کی پرائس رینج میں,P,
train412,train412_S8_Sp024_F_L1_G1_A3,LP_C,
,السلام و علیکم میں نے غازی روڈ میں کھانا آرڈر کرنا ہے جس کی پرائس رینج ہو پانچ سو روپے,LP,
,مجھے فاسٹ سوڈ چاہیے,C,
train413,train413_S7_Sp024_F_L1_G1_A3,LC_P,
,السلام و علیکم میں نے جوہرٹاؤن میں برگر آرڈر کرنا ہے,LC,
,مہںگا پلیز,P,
train414,train414_S7_Sp024_F_L1_G1_A3,LC_P,
,السلام و علیکم میں سمن آباد میں  دیسی کوزین کوئی آرڈر کرنا چاہ رہی ہوں,LC,
,مناسب,P,
train415,train415_S8_Sp024_F_L1_G1_A3,LP_C,
,السلام و علیکم میں سمن آباد میں کھانا آرڈر کرنا چاہ رہی ہوں اور میری پراائس رینج مناسب ہے,LP,
,میں چائنیز آرڈر کرنا پسند کروں گی,C,
train416,train416_S8_Sp024_F_L1_G1_A3,LP_C,
,السلام و علیکم میں فیصل ٹاؤن میں آرڈر کرنا  چاہ رہی ہوں اور میری پراائس رینج پندرہ سو کے قریب ہے,LP,
,میں چائنیز  رائس آرڈر کرنا پسند کروں گی,C,
train417,train417_S9_Sp024_F_L1_G1_A3,CP_L,
,السلام و علیکم میں دیسی کھانا آرڈر کرنا چاہ رہی ہوں اور میری پرائس رینج ہزار کے قریب ہے,CP,
,میں واپڈا ٹاؤن سے آرڈر کرنا چاہوں گی,L,
train418,train418_S9_Sp024_F_L1_G1_A3,CP_L,
,السلام و علیکم میں فاسٹ فوڈ آرڈر کرنا چاہ رہی ہوں میری پرائس رینج پانچ سو کے قریب ہے,CP,
,میں یہ کھانا غازی روڈ سے آرڈر کرنا پسند کروں گی,L,
train419,train419_S9_Sp024_F_L1_G1_A3,CP_L,
,میرے گھر مہمان آئے  ہوئے ہیں اور میں بریانی آرڈر کرنا چاہ رہی ہوں  میری پراائس رینج ہزار   کے قریب ہے,CP,
,بحریہ ٹاؤن پلیز,L,
train420,train420_S10_Sp024_F_L1_G1_A3,C_LP,
,السلام و علیکم مجھے کافی بھوک لگی ہے اور مجھے پیزا  میرا دل کر رہا ہے پیزاا کھانے کو,C,
,میری پرائس رینج ہزار کے قریب ہے اور میں آرڈر کرنا چاہ رہی ہوں ماڈل ٹاؤن سے,LP,
train421,train421_S10_Sp024_F_L1_G1_A3,C_LP,
,السلام و علیکم میں ایگ نوڈلز آرڈر کرنا چاہ رہی ہوں  میرے گھر مہمان بھی آئے ہوئے ہیں اور ہم سب چائنیز کھانا چاہ رہے ہیں,C,
,میں باغبان پورہ سے آرڈر کرنا پسند کروں گی اور میری پرائس رینج مہنگی ہے,LP,
train422,train422_S11_Sp024_F_L1_G1_A3,L_CP,
,ڈی ایچ اے فیز سکس سے آرڈر کرنا چاہ رہی ہوں ,L,
,میں آملیٹ آرڈر کرنا پسند کروں گی اور میری پرائس رینج پانچ سو کے نیچے ہے,CP,
train423,train423_S11_Sp024_F_L1_G1_A3,L_CP,
,السلام و علیکم میں بحریہ ٹاؤن سے آرڈر کرنا چاہ رہی ہوں ,L,
,میں پیزا آرڈر کرنا پسند کروں گی اور میری پرائس رینج مناسب ہے مطلب ہزار کے اندر,CP,
train424,train424_S12_Sp024_F_L1_G1_A3,P_CL,
