Story Number,Output,intent ,Comments
train293,train293_S7_Sp017_M_L1_G1_A1,LC_P,
,میں اس وقت یو ای ٹی  میں کھڑا ہوں بس سٹینڈ پہ اور میرا کچھ کھانے کو دل کر رہا ہے دیسی کھانا,LC,
,مناسب,P,
train294,train294_S1_Sp017_M_L1_G1_A1,L_C_P,
,میں اس وقت یو ای ٹی  میں بس سٹینڈ کے پاس کھڑا ہوں اور مجھے بھوک بہت زیادہ لگی ہوئی ہے,L,
,دیسی کھانا کھانا پسند کروں گا,C,
, کوئی بھی مناسب قیمت میں ہو تو وہ ٹھیک ہے,P,
train295,train295_S7_Sp017_M_L1_G1_A1,LC_P,
,میں اس وقت سائنس میوزیم کے پاس کھڑا ہوں اور میرا کچھ دیسی کھانے کو دل کر رہاہے,LC,
,مہنگا,P,
train297,train297_S8_Sp017_M_L1_G1_A1,LP_C,
,میں اس وقت یو ای ٹی کے میں بس سٹینڈ کے پاس کھڑا ہوں اور مجھے کچھ کھانا چاہئے جو کہ  فائیو  ہنڈرڈ ٹو ون تھاؤزنڈ کی رینج میں ہو,LP,
,مجھے فاسٹ فوڈ کھانا ہے,C,
train298,train298_ S8_Sp017_M_L1_G1_A1,LP_C,
,میں اس وقت ایم ایم عالم روڈ پہ کھڑا ہوں اور مجھے بہت زیادہ بھوک لگی  ہوئی ہے اور میرے پاس اس وقت ہزار روپے ہیں.,LP,
,مجھے چائنیز فوڈ کھانے کا دل کر رہا ہے.,C,
train299,train299_S9_Sp017_M_L1_G1_A1,CP_L,
,مجھے بہت زیادہ بھوک لگی ہوئی ہے اور میرا دل فاسٹ فوڈ میں برگر کھانے  کو کر رہا ہے اور میری پرائس کی جو رینج ہے وہ  ہے فائیو ہنڈرڈ روپیز ,CP,
,میں اس ٹائم برکت مارکیٹ میں ہوں,L,
train300,train300_S9_Sp017_M_L1_G1_A1,CP_L,
,یار میں  آفس سے آیا ہوں اور بہت زیادہ تھکا ہوں اور دل کچھ دیسی کھانا کھانے کو کر رہا ہے جیسے کہ دال چاول یا کڑاہی وغیرہ اور میری پرائس کی رینج جو ہے وہ  فائیو ہنڈرڈ روپیز ہے,CP,
,میں یہ فردوس مارکیٹ کے پاس سے کہیں سے آرڈر کروانا پسند کروں گا,L,
train301,train301_S9_Sp017_M_L1_G1_A1,CP_L,
,میں اس وقت آفس سے آیا ہوں اور بہت زیادہ تھکا ہوا ہوں اور کچھ دیسی کھانا کھانے کو دل کر رہا ہے جیسے کہ دال چاول اور میرے پاس اس وقت پیسے پانچ سو روپے ہیں,CP,
,میں برکت مارکیٹ سے آرڈر کرنا پسند کروں گا یہ کھانا,L,
train302,train302_S10_Sp017_M_L1_G1_A1,C_LP,
,یار باہر بہت بارش ہو رہی ہے اور بہت زیادہ پانی ہے تو اس وجہ سے مجھے کچھ فاسٹ فوڈ کھانے کا دل کر رہا ہے,C,
,میں یہ کیولری گراﺅنڈ میں لوکیشن پر کیولری گراؤنڈ کی لوکیشن سے  آرڈر کرنا چاہتا ہوں اور میری پرائس رینج ون تھاؤزنڈ روپیز ہے,LP,
train303,train303_S10_Sp017_M_L1_G1_A1,C_LP,
,باہر بہت گرمی ہے اور جانے کا دل نہیں کر رہا اور کچھ فاسٹ فوڈ کھانے کو دل کر رہا ہے.,C,
,میں چاہتا ہوں کہ کیولری گراؤنڈ سے کوئی ڈلیوری ہو جائے اور میری پرائس رینج ہے  ون تھاؤزنڈ روپیز.,LP,
train304,train304_S11_Sp017_M_L1_G1_A1,L_CP,
,میں پی سی آئی ٹی کے پاس کھڑا ہوں  اور مجھے بھوک لگی ہے اور مجھے کچھ کھانا ہے اور میں لاہور میں نیا ہوں اور مجھے کسی ریسٹورینٹ کا پتہ نہیں ہے.,L,
,میں دیسی کھانا کھانا پسند کروں گا جیسے کہ کڑاہی اور پرائس  میری پندرہ سو کے انڈر,CP,
train305,train305_S12_Sp017_M_L1_G1_A1,P_CL,
,یار آج  پیسے بہت کم ہیں ٹو ففٹی روپیز ہی ہیں تو ٹو ففٹی روپیز  میں کچھ کھانے کو دل کر رہا ہے.,P,
,میں فاسٹ فوڈ کھانا پسند کروں گا اور میری لوکیشن اس ٹائم والٹن کی ہے .,CL,
train306,train306_S12_Sp017_M_L1_G1_A1,P_CL,
,یار پیسے بہت کم ہیں اور نا کچھ سستا کھانے کو دل کر رہا ہے جو کہ تھری ہنڈرڈ کی رینج میں ہوں.,P,
,فاسٹ فوڈ کھانا کھانے دل کر رہا ہے جو فیصل ٹاؤن کی لوکیشن  ہے میری.,CL,
train307,train307_S13_Sp017_M_L1_G1_A1,LCP,
,میں اس وقت پنجاب یونیورسٹی کے جیالوجی ڈیپارٹمنٹ کے پاس کھڑا ہوں اور میرا دل کوئی  چائنیز فوڈ کھانے کو کر رہا ہے لائیک چکن منچورین اور میری پرائس رینج ون تھاوزنڈ روپیز ہے.,LCP,
train308,train308_S13_Sp017_M_L1_G1_A1,LCP,
,میں اس وقت ڈیفینس موڑ کے پاس عادل ہاسپٹل کے پاس ہوں اور میرا کوئی دل دیسی کھانا کھانے کو کر رہا ہے جیسے کہ بریانی وغیرہ اور میری پرائس رینج ہنڈرڈ روپیز  ہے,LCP,
train309 ,train309_S7_Sp018_F_L2_G1_A5,LC_P,
,میں ڈی ایچ اے فیز ٹو میں ہوں اور مجھے پالک گوشت کھانی ہے کیا آپ میری مدد کر سکتے ہیں.,LC,
,میرے پاس صرف پانچ سو سے ہزار روپے ہیں میں مناسب کھانا کھانا پسند کروں گی.,P,
train310,train310_S7_Sp018_F_L2_G1_A5,LC_P,
,میں ماڈل ٹاؤن میں ہوں اور مجھے کڑاہی گوشت کھانا ہے کیا آپ میری مدد کر سکتے.,LC,
,میرے پاس صرف دو سو روپے ہیں اور میرے پاس اس سے زیادہ پیسے نہیں ہیں آپ میری مدد کر سکتے ہیں .,P,
tarin311,tarin311_S8_Sp018_F_L2_G1_A5,LP_C,
,میں یو ای ٹی میں ہوں اور میری پرائس رینج پانچ سو سے ہزار کے درمیان ہے کیا آپ مجھے کسی اچھے کھانے کے بارے میں بتا سکتے ہیں .,LP,
,میں فاسٹ فوڈ میں مناسب کھانا کھانا پسند کروں گی.,C,
train312,train312_S7_Sp018_F_L2_G1_A5,LC_P,
,میں اقبال ٹاؤن میں موجود ہوں اور مجھے کڑاہی گوشت کھانا ہے کیا آپ میرے لئے. کیا آپ میرے لئے کچھ بتا سکتے ہیں.,LC,
,میرے پاس پانچ سو سے ہزار روپے ہیں اس رینج میں آپ مجھے بتا دیں.,P,
train313,train313_S8_Sp018_F_L2_G1_A5,LP_C,
,میں گلبرگ میں موجود ہوں اور میرے پاس ہزار روپے ہیں  اس رینج میں آپ مجھے کوئی کھانا بتا دیں.,LP,
,فاسٹ فوڈ کھانا پسند کروں گی.,C,
train314,train314_S8_Sp018_F_L2_G1_A5,LP_C,
